Regional_Grouping,Region,Region_Code,M49Region_Code,Country,ISO3Code,M49_Code
AUREC,ECA_Eastern Africa,SDGRC_ECA_EA,98102,Kenya,KEN,404
AUREC,ECA_Eastern Africa,SDGRC_ECA_EA,98102,Madagascar,MDG,450
AUREC,ECA_Eastern Africa,SDGRC_ECA_EA,98102,Rwanda,RWA,646
AUREC,ECA_Eastern Africa,SDGRC_ECA_EA,98102,Seychelles,SYC,690
AUREC,ECA_Eastern Africa,SDGRC_ECA_EA,98102,Somalia,SOM,706
AUREC,ECA_Eastern Africa,SDGRC_ECA_EA,98102,South Sudan,SSD,728
AUREC,ECA_Eastern Africa,SDGRC_ECA_EA,98102,Uganda,UGA,800
AUREC,ECA_Eastern Africa,SDGRC_ECA_EA,98102,United Republic of Tanzania,TZA,834
AUREC,Intergovernmental Authority on Development (IGAD),SDGRC_ECA_IGAD,98109,Djibouti,DJI,262
AUREC,Intergovernmental Authority on Development (IGAD),SDGRC_ECA_IGAD,98109,Eritrea,ERI,232
AUREC,Intergovernmental Authority on Development (IGAD),SDGRC_ECA_IGAD,98109,Ethiopia,ETH,231
AUREC,Intergovernmental Authority on Development (IGAD),SDGRC_ECA_IGAD,98109,Kenya,KEN,404
AUREC,Intergovernmental Authority on Development (IGAD),SDGRC_ECA_IGAD,98109,Somalia,SOM,706
AUREC,Intergovernmental Authority on Development (IGAD),SDGRC_ECA_IGAD,98109,South Sudan,SSD,728
AUREC,Intergovernmental Authority on Development (IGAD),SDGRC_ECA_IGAD,98109,Sudan,SDN,729
AUREC,Intergovernmental Authority on Development (IGAD),SDGRC_ECA_IGAD,98109,Uganda,UGA,800
AUREC,ECA_North Africa,SDGRC_ECA_NA,98103,Algeria,DZA,12
AUREC,ECA_North Africa,SDGRC_ECA_NA,98103,Egypt,EGY,818
AUREC,ECA_North Africa,SDGRC_ECA_NA,98103,Libya,LBY,434
AUREC,ECA_North Africa,SDGRC_ECA_NA,98103,Mauritania,MRT,478
AUREC,ECA_North Africa,SDGRC_ECA_NA,98103,Morocco,MAR,504
AUREC,ECA_North Africa,SDGRC_ECA_NA,98103,Sudan,SDN,729
AUREC,ECA_North Africa,SDGRC_ECA_NA,98103,Tunisia,TUN,788
AUREC,Southern African Development Community (SADC),SDGRC_ECA_SADC,98110,Angola,AGO,24
AUREC,Southern African Development Community (SADC),SDGRC_ECA_SADC,98110,Botswana,BWA,72
AUREC,Southern African Development Community (SADC),SDGRC_ECA_SADC,98110,Comoros,COM,174
AUREC,Southern African Development Community (SADC),SDGRC_ECA_SADC,98110,Democratic Republic of the Congo,COD,180
AUREC,Southern African Development Community (SADC),SDGRC_ECA_SADC,98110,Eswatini,SWZ,748
AUREC,Southern African Development Community (SADC),SDGRC_ECA_SADC,98110,Lesotho,LSO,426
AUREC,Southern African Development Community (SADC),SDGRC_ECA_SADC,98110,Madagascar,MDG,450
AUREC,Southern African Development Community (SADC),SDGRC_ECA_SADC,98110,Malawi,MWI,454
