Regional_Grouping,Region_Code,Region,Country,ISO3Code,M49Region_Code,M49_Code,FAO_CODE
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Congo,COG,901,178,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Democratic People's Republic of Korea,PRK,901,408,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Democratic Republic of the Congo,COD,901,180,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Eritrea,ERI,901,232,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Ethiopia,ETH,901,231,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Gambia,GMB,901,270,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Guinea,GIN,901,324,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Guinea-Bissau,GNB,901,624,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Haiti,HTI,901,332,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Kenya,KEN,901,404,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Kyrgyzstan,KGZ,901,417,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Lesotho,LSO,901,426,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Liberia,LBR,901,430,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Madagascar,MDG,901,450,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Malawi,MWI,901,454,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Mali,MLI,901,466,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Mauritania,MRT,901,478,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Mozambique,MOZ,901,508,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Nepal,NPL,901,524,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Nicaragua,NIC,901,558,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Niger,NER,901,562,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Rwanda,RWA,901,646,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Sao Tome and Principe,STP,901,678,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Senegal,SEN,901,686,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Sierra Leone,SLE,901,694,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Somalia,SOM,901,706,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),South Sudan,SSD,901,728,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Sudan,SDN,901,729,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Syrian Arab Republic,SYR,901,760,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Tajikistan,TJK,901,762,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Togo,TGO,901,768,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Uganda,UGA,901,800,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),United Republic of Tanzania,TZA,901,834,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Uzbekistan,UZB,901,860,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Yemen,YEM,901,887,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Zimbabwe,ZWE,901,716,5815
FAO_GLOBAL,"",Net Food Importing Developing Countries (NFIDCs),Afghanistan,AFG,902,4,5817
FAO_GLOBAL,"",Net Food Importing Developing Countries (NFIDCs),Angola,AGO,902,24,5817
FAO_GLOBAL,"",Net Food Importing Developing Countries (NFIDCs),Antigua and Barbuda,ATG,902,28,5817
FAO_GLOBAL,"",Net Food Importing Developing Countries (NFIDCs),Bangladesh,BGD,902,50,5817
FAO_GLOBAL,"",Net Food Importing Developing Countries (NFIDCs),Barbados,BRB,902,52,5817
FAO_GLOBAL,"",Net Food Importing Developing Countries (NFIDCs),Benin,BEN,902,204,5817
FAO_GLOBAL,"",Net Food Importing Developing Countries (NFIDCs),Bhutan,BTN,902,64,5817
FAO_GLOBAL,"",Net Food Importing Developing Countries (NFIDCs),Botswana,BWA,902,72,5817
FAO_GLOBAL,"",Net Food Importing Developing Countries (NFIDCs),Burkina Faso,BFA,902,854,5817
FAO_GLOBAL,"",Net Food Importing Developing Countries (NFIDCs),Burundi,BDI,902,108,5817
FAO_GLOBAL,"",Net Food Importing Developing Countries (NFIDCs),Cambodia,KHM,902,116,5817
FAO_GLOBAL,"",Net Food Importing Developing Countries (NFIDCs),Central African Republic,CAF,902,140,5817
FAO_GLOBAL,"",Net Food Importing Developing Countries (NFIDCs),Chad,TCD,902,148,5817
FAO_GLOBAL,"",Net Food Importing Developing Countries (NFIDCs),Comoros,COM,902,174,5817
FAO_GLOBAL,"",Net Food Importing Developing Countries (NFIDCs),Cuba,CUB,902,192,5817
FAO_GLOBAL,"",Net Food Importing Developing Countries (NFIDCs),Côte d'Ivoire,CIV,902,384,5817
FAO_GLOBAL,"",Net Food Importing Developing Countries (NFIDCs),Democratic Republic of the Congo,COD,902,180,5817
FAO_GLOBAL,"",Net Food Importing Developing Countries (NFIDCs),Djibouti,DJI,902,262,5817
